1.0,5,0.436
2.0,6,0.437
3.0,6,0.375
4.0,6,0.338
5.0,7,0.343
6.0,8,0.342
7.0,8,0.307
8.0,9,0.285
9.0,10,0.284
10.0,11,0.261
11.0,12,0.243
12.0,13,0.228
13.0,14,0.214
14.0,15,0.203
15.0,16,0.193
16.0,17,0.184
17.0,18,0.177
18.0,19,0.170
19.0,20,0.164
20.0,21,0.158
21.0,22,0.153
22.0,23,0.148
23.0,24,0.144
24.0,25,0.140
25.0,26,0.136
26.0,27,0.132
27.0,28,0.129
28.0,29,0.126
29.0,30,0.123
30.0,30,0.120
31.0,30,0.118
32.0,30,0.119
33.0,30,0.120
34.0,30,0.121
35.0,30,0.121
36.0,30,0.122
37.0,30,0.123
38.0,30,0.123
39.0,30,0.124
40.0,30,0.124
41.0,30,0.125
42.0,30,0.125
43.0,29,0.125
44.0,28,0.129
45.0,27,0.134
46.0,26,0.138
47.0,25,0.143
48.0,23,0.148
49.0,21,0.159
50.0,19,0.172
51.0,16,0.188
52.0,13,0.217
53.0,10,0.258
54.0,7,0.319
55.0,4,0.419
56.0,2,0.618
57.0,2,0.914
58.0,2,0.929
59.0,2,0.928
60.0,2,0.926
61.0,2,0.925
62.0,2,0.923
63.0,2,0.921
64.0,2,0.918
65.0,2,0.916
66.0,2,0.913
67.0,2,0.910
68.0,3,0.907
69.0,5,0.895
70.0,2,0.710
71.0,2,0.874
72.0,4,0.893
73.0,7,0.874
74.0,4,0.577
75.0,6,0.570
76.0,9,0.572
77.0,6,0.424
78.0,7,0.417
79.0,9,0.421
80.0,10,0.369
81.0,10,0.300
82.0,10,0.273
83.0,10,0.270
84.0,10,0.267
85.0,9,0.264
86.0,9,0.280
87.0,8,0.281
88.0,7,0.301
89.0,6,0.330
90.0,5,0.368
91.0,4,0.417
92.0,4,0.485
93.0,3,0.488
94.0,2,0.576
95.0,2,0.733
96.0,2,0.741
97.0,2,0.732
98.0,2,0.723
99.0,2,0.714
100.0,2,0.705
101.0,2,0.695
102.0,2,0.685
103.0,2,0.676
104.0,2,0.666
105.0,2,0.656
106.0,2,0.645
107.0,2,0.635
108.0,2,0.625
109.0,2,0.614
110.0,2,0.603
111.0,2,0.593
112.0,2,0.582
113.0,2,0.571
114.0,2,0.560
115.0,2,0.549
116.0,2,0.538
117.0,2,0.527
118.0,2,0.516
119.0,2,0.504
120.0,2,0.493
121.0,2,0.482
122.0,2,0.472
123.0,2,0.461
124.0,2,0.450
125.0,2,0.439
126.0,2,0.429
127.0,2,0.419
128.0,2,0.409
129.0,2,0.399
130.0,2,0.389
131.0,2,0.380
132.0,2,0.371
133.0,2,0.362
134.0,2,0.354
135.0,2,0.345
136.0,2,0.338
137.0,2,0.330
